Algorithm: FastMap
Target dimensions: 3
Pivots per dimension:
Dim 1: 2908 4567
Dim 2: 2040 4909
Dim 3: 4672 4180
Object coordinates:
646: 86.016894 153.597239 104.173200
647: 97.245520 122.845618 52.326564
648: 75.752719 151.151797 107.204342
649: 41.549462 123.949259 73.314409
650: 80.910259 119.985150 105.503987
651: 110.943885 44.207072 85.595788
652: 73.260771 81.704309 95.698622
653: 68.073268 120.122205 119.912951
654: 141.590720 99.576558 103.250308
655: 76.806899 82.881909 125.480153
656: 91.069514 47.840798 89.367988
657: 78.487570 116.815077 85.729798
658: 95.175882 61.632317 119.416337
659: 115.749646 99.791735 148.201746
660: 85.872815 101.721063 49.383266
661: 106.835329 91.962336 139.125390
662: 107.852632 107.012196 112.822423
663: 86.714661 143.122736 106.474534
664: 63.340542 92.020387 111.917349
665: 80.749322 49.735910 100.124667
666: 160.058670 124.596234 106.166024
667: 98.030822 93.655489 140.826454
668: 111.304232 61.250347 62.529656
669: 43.753224 73.048366 46.422184
670: 62.227398 118.561154 100.133780
671: 77.423440 84.646584 55.703936
672: 134.526067 74.654491 134.284002
673: 55.879028 89.522053 76.150024
674: 150.225172 110.946096 95.910831
675: 107.948634 46.992960 71.446127
676: 127.502563 130.493474 128.405555
677: 49.669290 111.202945 66.617887
678: 118.820681 131.165269 59.410261
679: 75.016147 44.828848 103.804644
680: 128.457539 104.534849 75.381842
681: 109.238765 138.121873 104.300762
682: 32.615899 76.480381 68.736342
683: 112.524262 113.457298 147.591964
684: 139.574108 117.254806 102.541523
685: 102.892616 111.184957 137.910831
686: 116.419408 119.040927 87.470790
687: 114.950422 105.104921 129.428907
688: 49.683036 111.041253 84.528141
689: 85.141776 33.599785 89.040644
690: 145.500552 129.059546 96.943257
691: 123.707469 89.320401 114.212019
692: 102.828393 88.427403 121.588045
693: 84.265286 103.679279 96.017589
694: 99.520679 127.053246 126.667101
695: 94.047845 130.196369 55.692898
696: 99.873272 88.788426 146.760151
697: 140.265611 103.845899 111.317626
698: 80.921692 116.441657 131.063022
699: 100.762589 19.555995 103.250800
700: 90.702468 135.148143 80.830510
701: 80.519366 70.419930 34.198813
702: 59.686695 125.572902 58.224821
703: 116.665863 80.653701 67.612121
704: 105.657997 72.803543 95.573270
705: 122.259006 149.947042 92.469566
706: 122.803593 102.866773 96.730195
707: 38.489395 83.303879 81.863802
708: 140.674281 107.347966 37.486344
709: 65.052615 154.887485 110.367911
710: 79.290960 38.482416 92.858914
711: 88.146770 70.771106 132.938764
712: 120.922610 107.562778 47.380606
713: 102.437132 132.869906 88.901207
714: 115.291808 107.888532 130.206480
