Algorithm: FastMap
Target dimensions: 2
Pivots per dimension:
Dim 1: 6115 4085
Dim 2: 8062 7500
Object coordinates:
763: 107.158149 61.511676
764: 100.091811 123.399665
765: 42.919075 79.815167
766: 89.622774 147.190843
767: 101.264823 131.706715
768: 136.892566 119.262862
769: 80.113537 94.498183
770: 73.520377 100.543877
771: 83.475735 90.351384
772: 69.896091 82.145385
773: 68.293935 54.577175
774: 62.628184 127.714368
775: 106.956405 118.376980
776: 34.708253 124.217563
777: 100.814240 155.250100
778: 168.111799 81.065844
779: 95.498040 84.150485
780: 75.016245 98.787601
781: 107.986283 104.276625
782: 66.988764 110.132879
783: 116.451835 90.251209
784: 58.103678 115.326475
785: 46.287197 62.177358
786: 68.276518 94.496600
787: 71.974769 97.088420
788: 125.045057 119.177558
789: 118.881518 104.001521
790: 111.178503 118.677234
791: 69.292601 107.774301
792: 108.759752 119.753076
793: 108.261924 109.361057
794: 121.751802 67.413895
795: 154.231443 54.079625
796: 52.948280 46.744310
797: 84.951030 95.025906
798: 71.211450 51.929258
799: 75.551251 144.474597
800: 73.267907 122.217509
801: 110.811722 102.627942
802: 45.176918 95.701928
803: 91.838055 110.433822
804: 89.445922 50.646629
805: 47.624788 116.471703
806: 88.217421 83.018016
807: 63.015572 86.109632
808: 18.753730 77.263578
809: 160.222078 71.114495
810: 112.460316 118.704729
811: 84.368236 72.402099
812: 138.553567 72.843364
813: 130.357856 111.976073
814: 122.118755 119.782722
815: 73.285564 130.507959
816: 131.392765 85.461904
817: 88.928009 123.843392
818: 84.317226 110.523634
819: 63.272561 69.718142
820: 97.548339 70.917786
821: 39.854701 125.151522
822: 107.188929 93.231978
823: 77.517782 50.488135
824: 93.362431 94.246609
825: 77.255831 79.834856
826: 124.584948 130.381148
827: 132.292227 40.394821
828: 52.205527 77.163866
829: 100.447826 58.599339
830: 99.324157 69.864678
831: 79.380332 87.956832
832: 81.954149 135.904296
833: 93.040292 143.024797
834: 154.994540 113.594306
835: 104.869531 94.870669
836: 109.024988 65.995380
837: 68.953998 104.954514
838: 100.939384 38.869208
839: 102.468038 130.559530
840: 131.770717 126.955450
841: 68.938173 95.198552
842: 83.707404 71.837920
843: 157.147150 122.153249
844: 96.429378 65.292061
845: 154.261773 75.228987
846: 92.856225 171.653886
847: 132.572794 123.945383
848: 129.495750 106.139606
849: 100.638176 127.033832
850: 86.318984 105.882428
851: 70.836950 116.384704
852: 82.317252 46.166071
853: 94.379181 73.031593
854: 111.966820 80.389258
855: 102.644851 90.015003
856: 80.691890 42.409663
857: 112.063884 130.953887
858: 124.371769 101.791781
859: 48.023193 116.742225
860: 66.330765 93.942870
861: 67.837467 74.503351
862: 66.003943 89.381947
863: 62.667279 84.718956
864: 87.918759 115.412801
865: 124.466990 143.315670
866: 68.518735 105.383508
867: 77.260175 123.044940
868: 113.077036 127.753258
869: 57.215368 83.793023
870: 78.406250 67.308426
871: 138.203257 65.858010
872: 67.893942 71.007418
873: 104.566346 48.368964
874: 87.045454 92.482860
875: 136.801811 127.488331
876: 126.825750 112.205733
877: 43.066499 127.318459
878: 54.088625 147.600860
879: 43.241533 89.881510
880: 99.184669 136.784518
881: 140.874748 64.784617
882: 33.657888 75.291806
883: 153.756786 83.248556
884: 80.455762 101.133656
885: 125.888445 83.281496
886: 80.131397 69.779276
887: 144.079325 120.253008
888: 89.822750 70.409250
889: 91.008195 158.121132
890: 107.058089 42.020019
891: 84.899842 115.691994
892: 87.776255 62.928362
893: 96.723229 114.986052
894: 127.322015 132.148890
895: 132.188628 85.872917
896: 59.830326 44.863283
897: 135.241878 56.072088
898: 140.253401 133.238916
899: 61.180843 128.211759
900: 82.858552 123.222529
901: 76.704024 132.274171
902: 103.767954 108.393841
903: 130.970348 106.237498
904: 85.265262 123.064500
905: 98.214071 75.398326
906: 86.291448 118.111703
907: 136.990766 111.983813
908: 133.735547 107.881609
909: 131.790816 71.376516
910: 117.954745 118.674368
911: 95.566649 77.610128
912: 89.576916 98.537322
913: 91.356499 59.952221
914: 150.440671 57.571761
915: 97.279373 77.354576
916: 33.350886 101.731827
917: 141.905461 86.027248
918: 127.445900 50.804952
919: 49.996380 99.960098
920: 158.867739 103.708448
921: 148.025070 89.116889
922: 62.087286 115.492778
923: 129.695068 92.130812
924: 88.435113 108.956018
925: 62.397046 96.320867
926: 80.266967 125.945481
927: 105.075037 28.843146
928: 77.564978 107.606112
929: 110.517995 151.193522
930: 119.844083 67.536694
931: 135.595603 112.106315
932: 50.385036 107.509357
933: 79.856973 97.776127
934: 141.485423 108.780565
935: 100.113310 139.901859
936: 102.695611 122.048499
937: 92.458194 138.599255
938: 77.351531 66.343121
939: 107.560184 77.835499
940: 83.252869 155.029178
941: 83.873324 131.622307
942: 90.220089 137.853718
943: 111.112094 75.020176
944: 127.083506 163.013355
945: 48.521767 59.439945
946: 77.373784 86.875798
947: 73.054232 149.123255
948: 70.911149 94.972116
949: 69.166438 107.538325
950: 136.026975 67.354959
951: 58.446030 83.094844
952: 112.537849 86.209984
953: 84.851143 78.504628
954: 90.307389 124.088397
955: 79.661335 97.663726
956: 99.572843 109.744206
957: 90.058091 128.241596
958: 55.886373 80.797646
959: 106.351652 69.166953
960: 58.933888 148.891419
961: 59.680082 111.879260
962: 107.204508 82.774841
963: 108.214245 95.951165
964: 94.460449 115.082157
965: 116.863782 116.142672
966: 144.812520 104.747685
967: 22.873953 93.842237
968: 80.553017 101.346112
969: 51.832262 84.424162
970: 73.438287 97.214394
971: 66.004171 112.448861
972: 80.586609 94.622362
973: 102.752132 136.454090
974: 116.643534 66.669124
975: 102.832096 162.059592
976: 93.479144 81.985535
977: 65.451467 136.482100
978: 44.440481 89.032412
979: 53.688481 97.447864
980: 112.953952 111.163446
981: 128.744773 55.552631
982: 91.724406 42.258538
983: 80.205687 108.278072
984: 77.826411 155.753650
985: 47.482455 104.145112
986: 68.247147 70.864181
987: 87.266442 79.604474
988: 57.965255 77.738560
989: 86.119025 73.745163
990: 115.269027 57.368685
991: 117.705598 89.163677
992: 93.792312 154.375897
993: 95.763667 104.208594
994: 102.637449 120.457827
995: 93.290500 97.349578
996: 127.019148 86.826138
997: 60.405418 77.720877
998: 98.369127 105.254999
999: 122.719279 57.388258
1000: 83.579924 72.088780
1001: 88.029548 56.818288
1002: 91.971254 61.757128
1003: 81.989322 135.308059
1004: 77.703622 129.871212
1005: 81.626862 72.608766
1006: 126.260739 112.512725
1007: 82.501606 75.757450
1008: 66.937223 161.815281
1009: 82.861683 96.715422
